,name,gender,hometown,age,education,income,experience,period,drawdown,debt,risk,attitude
3232,Gale Poe,1,Hong Kong,2,4,2,1,1,2,1,1,1
3233,Bert Hood,1,Hong Kong,3,4,4,5,4,4,2,4,4
3234,Edwina Sophia,2,Hong Kong,3,3,2,5,2,2,2,1,1
3235,Vita,2,Hong Kong,2,4,1,1,2,2,2,2,2
3236,Quintina Jefferson,2,Heilongjiang,5,4,5,5,5,4,4,5,5
3237,Samantha Wallis,2,Henan,5,5,5,5,5,5,5,5,5
3238,Ivan Carter,1,Hong Kong,3,4,2,3,2,2,5,3,1
3239,Joanna Moll,2,Macao,3,3,3,1,2,1,5,3,5
3240,David Beard,1,Hong Kong,3,3,3,1,2,1,5,3,5
3241,Frederica Carnegie,2,South Korea,2,3,1,1,1,2,1,1,1
3242,Magee Thomas,1,Hong Kong,2,1,2,1,1,2,2,1,1
3243,King Meredith,1,Heilongjiang,3,3,3,1,2,1,5,3,5
3244,Lu Shuren,2,Singapore,3,4,5,3,2,3,5,3,3
3245,Lewis Timothy,1,Hong Kong,3,1,3,4,1,1,1,1,1
3246,Bart Maxwell,1,Hong Kong,4,4,5,5,3,4,2,4,5
3247,Ruth Alice,2,Hong Kong,2,5,5,4,3,3,2,3,4
3248,Duke Eugen,1,Hong Kong,3,4,5,4,3,3,2,4,3
3249,Rupert Hume,1,Hong Kong,2,3,3,4,2,2,2,1,1
3250,Edison Needham,1,Hong Kong,3,4,3,3,3,3,5,3,3
3251,Ida Morse,2,Malaysia,4,5,3,3,2,4,3,2,3
3252,Pearl Nichol(s),2,Hong Kong,5,5,5,5,5,5,5,5,5
3253,Evangeline Sapir,2,Hong Kong,5,3,2,5,5,5,1,5,5
3254,Arlen Houston,1,HK,2,4,1,1,1,3,1,3,3
3255,Anastasia Dickens,2,HK,3,4,4,5,3,3,3,2,2
3256,Cheng Hui,2,Jiangsu,2,4,2,1,1,2,1,1,1
3257,Teng Feng,2,Hong Kong,5,4,3,3,2,3,3,3,3
3258,Aries Gabriel,1,Japan,3,4,2,2,1,3,2,1,2
3259,Sheila Broad,2,South Korea,3,4,4,5,3,3,3,2,2
3260,Moira Nathaniei,2,Hong Kong,2,1,2,1,1,2,2,1,1
3261,Gustave Scott,1,HK,3,3,3,5,2,3,3,1,3
3262,Duncan Louis,1,Hong Kong,3,4,4,5,4,4,2,4,4
3263,Peter Melville,1,Hong Kong,4,3,4,3,3,4,4,3,3
3264,Luther Reynolds,1,Canada,2,4,1,1,2,2,2,2,2
3265,Abel Crichton,1,Hong Kong,2,2,2,1,1,1,4,2,4
3266,Miryam Qassim,2,Hong Kong,2,5,5,4,3,3,2,3,4
3267,Herman Bill,1,Hong Kong,3,4,4,5,4,4,2,4,4
3268,Salome Lou(ie),2,Hebei,4,4,4,5,3,3,3,3,3
3269,Teng Heng,2,Shenzhen,2,3,2,2,2,2,4,2,2
3270,Pamela Ferdinand,2,Hong Kong,3,3,3,5,2,3,3,1,3
3271,Bernice Barton,2,Zhejiang,2,4,2,1,1,2,1,1,1
3272,Norma Aled(k),2,Shanxi,5,5,5,5,5,5,5,5,5
3273,Jeffrey Wells,1,Hong Kong,5,5,5,5,5,5,4,5,5
3274,Uchibayashi Saika,2,Hong Kong,2,5,5,4,3,3,2,3,4
3275,Tian Hui,1,Hong Kong,1,3,1,1,1,1,1,1,1
3276,Long Dong,1,Foshan,2,4,4,4,3,4,2,4,1
3277,He Tu,2,Hong Kong,1,3,1,1,1,2,1,2,2
3278,Chloe Minnie,2,Hong Kong,2,4,1,1,2,2,2,2,2
3279,Hermosa Will,2,Hong Kong,2,5,4,4,3,4,5,4,4
3280,Muriel Price,2,Anhui,4,2,4,4,3,2,2,3,3
3281,Vanessa Betty,2,Macao,2,3,2,2,2,2,4,2,2
3282,Darcy Holmes,1,Hong Kong,2,4,4,1,2,2,5,2,1
3283,Per Schichau,1,Shandong,5,3,5,5,4,3,3,4,4
3284,Lutz Schmetterling,1,Hong Kong,5,3,5,5,4,3,3,4,4
3285,Robin Kelvin,1,Hong Kong,3,4,5,5,3,4,2,4,2
3286,Ulysses Mill,1,Hong Kong,1,3,1,1,1,1,1,1,1
3287,Keith Simon,1,Hong Kong,2,5,5,4,3,3,2,3,4
3288,Calvin Harriman,1,Hong Kong,3,2,3,2,2,2,5,2,1
3289,Mignon Dewar,2,Hong Kong,2,4,1,1,1,3,1,3,3
3290,Tim Becher,1,Hong Kong,2,4,4,5,5,5,1,5,5
3291,York Zephaniah,1,Hong Kong,2,5,5,4,3,3,2,3,4
3292,Jessica Hawthorne,2,Macao,2,3,3,4,2,2,2,1,1
3293,Astrid FitzGerald,2,Hong Kong,4,2,4,5,2,2,2,2,2
3294,Theodore Church,1,hk,3,3,4,1,1,1,5,1,2
3295,Vito Malan,1,Hong Kong,3,4,2,3,2,2,5,3,1
3296,Drew More,1,Foshan,3,4,2,3,2,2,5,3,1
3297,Charlotte Nichol(s),2,Hong Kong,2,1,3,4,2,2,2,1,2
3298,Jay Habakkuk,1,Hong Kong,2,2,1,4,1,1,1,1,1
3299,Xiong Liuxian,2,Hong Kong,5,3,5,5,4,3,3,4,4
3300,Caroline Hobbes,2,India,2,3,1,5,5,5,2,5,5
3301,Penelope Geoffrey,2,Philippines,3,3,3,5,5,5,5,5,4
3302,Jeff Eugene,1,HK,4,2,2,5,4,5,2,5,4
3303,Simon Saxton,1,Hong Kong,3,3,3,1,2,1,5,3,5
3304,Owen Cooper,1,Hong Kong,3,4,4,5,3,3,3,2,2
3305,Sarah Waters,2,Beijing,4,2,4,4,3,2,2,3,3
3306,Stanley Bertha,1,Zhejiang,4,3,4,3,3,4,4,3,3
3307,Guy Richard,1,Hong Kong,2,4,1,1,1,3,1,3,3
3308,Oscar Hawthorne,1,Hong Kong,4,5,3,3,2,4,3,2,3
3309,Richard Aldington,1,HK,3,3,2,5,2,2,2,1,1
3310,Jessie Clark(e),2,Hong Kong,3,4,5,4,3,4,3,4,1
3311,Elsa Onions,2,Hong Kong,5,4,3,4,3,3,3,3,1
3312,William Luke,1,Hong Kong,4,4,4,5,3,4,4,2,4
3313,Hedda Wilmot(t),2,Hong Kong,3,4,2,2,1,3,2,1,2
3314,Darlene Buck,2,Anhui,3,2,3,2,2,3,3,2,2
3315,Marina Joseph,2,HK,5,5,5,5,5,5,5,5,5
3316,Audrey Holt,2,Chinese mainland,5,3,2,5,5,5,2,5,4
3317,Vanessa Christopher,2,Hong Kong,2,5,5,4,3,3,2,3,4
3318,Quintina Jefferson,2,Hong Kong,2,3,2,2,2,2,4,2,2
3319,Meng Bo,2,Hong Kong,3,4,2,2,1,3,2,1,2
3320,Janet Wood,2,Hong Kong,2,4,1,1,1,3,1,3,3
3321,Troy Faulkner,1,Hong Kong,2,4,2,1,1,2,1,1,1
3322,Claude Stella,1,hk,2,4,4,4,3,4,3,4,3
3323,Celeste Harte,2,Hong Kong,2,3,2,2,2,2,4,2,2
3324,Zebulon Tuttle,1,Hong Kong,4,5,3,4,3,3,5,4,2
3325,Ingemar Halifax,1,Hong Kong,2,4,2,1,1,2,1,1,1
3326,Megan Temple,2,Hong Kong,4,3,4,3,3,4,4,3,3
3327,Liang Yahui,2,hk,1,3,1,1,1,1,1,1,1
3328,Per Schichau,1,Jiangsu,2,4,4,5,3,3,5,4,3
3329,Henry Dalton,1,Hong Kong,1,2,1,5,4,4,2,5,3
3330,Nicole Grantham,2,Indonesia,4,4,4,3,2,2,3,2,1
3331,Walter Daniell,1,Hong Kong,5,3,3,3,2,3,5,3,2
3332,Edgar Becher,1,Hong Kong,5,3,3,5,5,5,5,5,5
3333,King Hornby,1,Hong Kong,1,2,1,1,1,1,3,1,1
3334,Asa Lou(ie),1,HK,2,2,2,4,1,2,2,1,2
3335,Vivien Macadam,2,Hong Kong,2,4,2,1,1,2,1,1,1
3336,Ira Watt,1,Hong Kong,2,2,2,1,1,1,4,2,4
3337,Shen Zheng,2,Hong Kong,2,4,1,1,2,2,2,2,2
3338,Marsh Adam,1,Hong Kong,3,4,5,2,2,2,3,2,1
3339,Joanna Moll,2,Guangdong,3,3,3,5,2,3,3,1,3
3340,Setlla Scott,2,Hong Kong,1,2,1,1,2,2,3,2,1
3341,Carl Carroll,1,Hong Kong,2,2,2,4,1,2,2,1,2
3342,Juliet Bush,2,Hong Kong,3,2,2,2,2,2,3,2,1
3343,Tracy Murray,1,Macao,3,2,3,2,2,3,3,2,2
3344,Wanda Harvey,2,Hong Kong,1,2,1,1,1,1,3,1,1
3345,Zi Jiao,2,Hong Kong,2,2,2,4,1,2,2,1,2
3346,Primo Geordie,1,Hong Kong,1,3,1,1,1,2,1,2,2
3347,Julius Dodd,1,Hong Kong,3,3,4,5,3,3,3,4,2
3348,Mabel Adams,2,guangxi,3,4,4,5,3,3,3,2,2
3349,Franklin Jim,1,Hong Kong,3,4,4,5,4,4,2,4,4
3350,Verna Caroline,2,Hong Kong,3,4,5,1,1,1,4,1,1
3351,Wu Hui,1,Hong Kong,4,4,5,1,2,3,3,3,1
3352,Douglas Marcellus,1,Shenzhen,5,5,5,5,5,5,5,5,5
3353,Kenneth Coffey,1,Hong Kong,2,4,1,1,1,3,1,3,3
3354,Victoria Belloc,2,Macao,3,2,3,2,2,3,3,2,2
3355,Eleanore Gallup,2,Hong Kong,3,5,2,2,2,4,2,4,4
3356,Xie Jia,2,Hong Kong,3,4,4,5,3,3,3,2,2
3357,Joan Bobby,2,Hong Kong,4,5,3,4,3,3,5,4,2
3358,Veromca Benson,2,Macao,2,5,5,4,3,3,2,3,4
3359,Kent Lyly,1,hk,3,4,2,2,1,3,2,1,2
3360,Alberta Franklin,2,Anhui,3,4,2,3,2,2,5,3,1
3361,Herman Bill,1,Hong Kong,2,4,1,1,1,3,1,3,3
3362,Owen Cooper,1,hk,2,4,1,1,1,3,1,3,3
3363,Ula Philemon,2,Hong Kong,5,4,3,1,1,1,4,1,2
3364,Lindsay Barnard,2,Hong Kong,2,4,3,4,3,4,2,4,3
3365,Riva Pope,2,Hong Kong,3,4,5,4,3,4,5,4,1
3366,Zheng Yaling,2,Hong Kong,5,5,5,5,5,5,5,5,5
3367,Antony Kipling,1,Hong Kong,1,3,3,2,1,1,1,1,2
3368,Tobey Fred,2,Indonesia,1,2,1,1,1,1,1,1,1
3369,Qin Yan,2,Hong Kong,3,3,3,1,2,1,5,3,5
3370,Geraldine Freeman,2,Hong Kong,3,4,5,1,2,1,4,1,3
3371,Vita,2,Hong Kong,4,4,4,4,4,4,4,4,4
3372,Jonathan Charley,1,Japan,3,4,4,5,4,4,2,4,4
3373,Sabrina Tate,2,Hong Kong,2,3,3,4,2,2,2,1,1
3374,Colin Kennedy,1,Hong Kong,1,2,1,1,1,1,1,1,1
3375,Bradley Kent,1,Indonesia,3,3,2,5,2,2,2,1,1
3376,Kent Lyly,1,HK,2,2,2,1,1,1,4,2,4
3377,Bernice Isaiah,2,Foshan,3,5,3,2,2,3,2,2,2
3378,Antony Nancy,1,Hong Kong,3,4,4,5,4,4,2,4,4
3379,Bertram Finger,1,Hong Kong,5,4,5,5,5,4,4,5,5
3380,Poppy Springhall,2,Hong Kong,5,3,2,5,3,3,5,3,2
3381,Freda MacPherson,2,Hong Kong,3,3,3,3,2,3,2,3,4
3382,Sun Zan,2,shenzhen,4,3,5,5,4,4,4,3,4
3383,Walter Patrick,1,Yunnan,3,3,2,5,2,2,2,1,1
3384,Lance Isabel,1,Hong Kong,3,4,5,2,2,3,3,3,1
3385,Li Xiu,2,Hong Kong,4,5,5,5,4,4,4,3,3
3386,Ye Zhen,2,Hong Kong,2,5,4,3,2,3,3,3,3
3387,Julia Carrie,2,Myanmar,4,2,4,4,3,2,2,3,3
3388,Lilith Richard,2,HK,5,5,4,5,3,4,2,4,5
3389,Zhu Lan,2,Mongolia,3,3,3,1,2,1,5,3,5
3390,Kama Mac-,2,Hong Kong,3,3,3,1,2,1,5,3,5
3391,Eugene Connor,1,Hong Kong,3,3,4,1,1,1,4,1,1
3392,Bblythe Samuel,2,hk,4,5,3,4,3,3,5,4,2
3393,Ren Xun,1,Hong Kong,3,2,3,2,2,3,3,2,2
3394,Ternence Johnson,1,Hong Kong,3,2,4,5,3,3,3,2,3
3395,Fang Guanting,2,Hong Kong,3,2,4,5,3,3,3,2,3
3396,Charles Adelaide,1,Hong Kong,3,5,2,2,2,4,2,4,4
3397,Crystal Fox,2,Hong Kong,2,4,1,1,1,3,1,3,3
3398,Larry Wheeler,1,Taiwan,3,4,2,3,2,2,5,3,1
3399,Eunice Kell(e)y,2,guangxi,3,4,4,5,4,4,2,4,4
3400,Gao Yazhu,1,Hong Kong,2,5,5,4,3,3,2,3,4
3401,Jamie Surrey,2,Hong Kong,5,5,5,5,5,5,5,5,5
3402,Venus Dickey,2,Chinese mainland,2,4,1,1,2,2,2,2,2
3403,Will Barnard,1,Beijing,2,3,3,4,2,2,2,1,1
3404,Eden Henley,2,Vietnam,5,3,5,5,4,3,3,4,4
3405,Yedda Gresham,2,Hubei,5,4,3,5,4,4,2,5,4
3406,Marina Goldsmith,2,Taiwan,5,3,5,5,3,3,3,3,3
3407,Laurel Harrington,2,Hong Kong,3,5,5,3,2,3,3,3,3
3408,Merle Powell,1,Hong Kong,3,4,4,5,4,4,2,4,4
3409,Wu Qiu,2,Guangdong,3,4,2,3,2,2,5,3,1
3410,Bess Lincoln,2,Hong Kong,2,4,3,3,2,3,3,3,1
3411,Zhan Mei,2,Hong Kong,2,3,1,2,1,1,4,2,1
3412,Conrad Morris,1,Hong Kong,2,3,2,4,3,4,2,4,2
3413,Liao Zhou,2,Hong Kong,5,3,5,5,4,3,3,4,4
3414,Tabitha MacArthur,2,Hong Kong,4,2,4,5,2,2,2,2,2
3415,Murphy Blume,1,Hong Kong,5,2,1,3,2,3,3,3,3
3416,Alfire Khoja,2,Hong Kong,5,3,5,5,4,3,3,4,4
3417,Xun Fang,2,Taiwan,5,5,5,5,5,5,5,5,5
3418,Wan Jian,1,Hong Kong,3,3,3,5,2,3,3,1,3
3419,Wu ZhenKang,2,Hong Kong,1,3,1,1,1,2,1,2,2
3420,Iris Hansen,2,Hong Kong,3,3,3,2,2,3,5,3,1
3421,Quan Jianhong,1,Hong Kong,2,1,2,3,1,1,1,1,1
3422,Ada Benedict,2,Hong Kong,1,2,1,5,3,4,2,4,5
3423,Christian Lynch,1,Hong Kong,5,5,5,5,5,5,5,5,5
3424,Matt Cecillia,1,Hong Kong,2,3,2,2,2,2,4,2,2
3425,Alma Penn,2,Hong Kong,5,4,3,4,3,4,2,4,4
3426,Alston Aldington,1,Hong Kong,3,4,4,5,3,3,3,2,2
3427,Jacob Houston,1,HK,2,3,2,2,2,2,4,2,2
3428,Liz Craigie,2,Hong Kong,2,5,4,1,1,2,4,2,2
3429,Judith Hosea,2,HK,3,4,2,2,1,3,2,1,2
3430,Ferdinand Jeremiah,1,Taiwan,5,3,5,5,4,3,3,4,4
3431,Sampson Wagner,1,Chongqing,3,2,3,2,2,3,3,2,2
3432,Li Xiu,2,Macao,5,2,1,2,2,3,3,3,3
3433,Wen Chin,1,Shenzhen,3,4,2,2,1,3,2,1,2
3434,Trista Victor,2,HK,3,3,2,5,2,2,2,1,1
3435,Hermosa Will,2,Hong Kong,5,3,2,3,2,3,5,4,2
3436,Kitty Dewey,2,Shandong,3,3,3,1,1,1,4,1,1
3437,Adelaide Masefield,2,Anhui,3,3,3,3,2,3,3,3,2
3438,Tiffany Cromwell,2,Hong Kong,5,3,5,5,3,3,3,3,3
3439,Jason Godwin,1,Hong Kong,4,5,5,5,4,4,4,3,3
3440,Rodney Pansy,1,hk,4,5,5,5,5,5,3,5,5
3441,Jeffrey Bob,1,Hong Kong,1,3,1,1,1,1,1,1,1
3442,Ren Jian,1,Hong Kong,3,2,4,5,3,3,3,2,3
3443,Isabel Rosa,2,Shenzhen,2,4,3,4,3,4,2,4,2
3444,Huo Yuhan,1,Hong Kong,1,2,1,1,2,2,3,2,1
3445,Bella David,2,Mongolia,1,3,1,1,1,1,1,1,1
3446,Monroe Hewlett,1,Canton,2,2,2,1,1,1,4,2,4
3447,Georgia Geordie,2,hk,3,4,2,3,2,2,5,3,1
3448,Liz Moll,2,hk,3,5,2,2,2,4,2,4,4
3449,Horace Barnard,1,Hong Kong,5,4,4,2,2,2,5,2,3
3450,Kyle Ferdinand,1,Hong Kong,3,5,5,3,2,3,3,3,1
3451,Gong Lin,1,Hong Kong,5,3,5,5,4,3,3,4,4
3452,Phyllis Piers,2,hk,3,4,3,3,3,3,5,3,3
3453,Natividad Anna,2,HK,3,3,3,1,2,1,5,3,5
3454,Cai Bo,1,Hong Kong,4,4,5,3,2,3,3,3,3
3455,Nydia Madge,2,Shenzhen,4,3,4,3,3,4,4,3,3
3456,Teng Feng,2,hk,2,4,2,1,1,2,1,1,1
3457,Jessie Keppel,2,Hong Kong,2,4,1,1,2,2,2,2,2
3458,Zora Crane,2,Malaysia,3,5,2,2,3,3,3,3,3
3459,Ryan Terry,1,Hong Kong,2,4,4,4,3,4,5,4,1
3460,Adolph Temple,1,Hong Kong,5,5,5,5,5,5,5,5,5
3461,Sandy Sheridan,1,hk,4,3,3,1,1,1,3,1,2
3462,Norma Aled(k),2,Hong Kong,2,2,1,1,1,1,5,1,1
3463,Lillian Gissing,2,Hong Kong,3,4,2,3,2,2,5,3,1
3464,Selena Nico(l),2,Hong Kong,4,5,5,5,5,5,3,5,5
3465,Molly Nelson,2,Hong Kong,3,4,4,5,3,3,3,2,2
3466,Grace Ramsden,2,Hong Kong,5,2,1,5,4,3,5,4,2
3467,Polly Whyet,2,hk,3,3,3,1,2,1,5,3,5
3468,Song Ya,2,Hong Kong,2,2,1,4,1,1,1,1,1
3469,Christian Vaughan,1,Hong Kong,2,3,3,4,2,2,2,1,1
3470,Fang Bo,1,Hong Kong,2,4,1,1,2,2,2,2,2
3471,Robin Bert,1,Hong Kong,2,3,2,5,4,4,2,5,3
3472,Gordon Moses,1,hk,2,1,2,1,1,2,2,1,1
3473,Bella Smith,2,Hong Kong,5,4,3,2,2,2,3,2,1
3474,Valerie Scripps,2,hk,3,4,2,3,2,2,5,3,1
3475,Albert Whitman,1,Hong Kong,2,4,1,1,1,3,1,3,3
3476,Deng Meng,1,Hong Kong,3,4,2,3,2,2,5,3,1
3477,Leonard Windsor,1,Hong Kong,3,2,4,5,3,3,3,2,3
3478,Elvis Pepys,1,Hong Kong,2,4,1,1,2,2,2,2,2
3479,Wu ZhenKang,2,Hong Kong,3,2,2,1,1,1,4,1,1
3480,Gao Luoyang,1,Hong Kong,3,2,4,5,3,3,3,2,3
3481,Ophelia Rossetti,2,Hong Kong,1,3,1,1,1,1,1,1,1
3482,Constance Wood,2,Hong Kong,4,5,5,5,5,5,3,5,5
3483,Abel Crichton,1,Hong Kong,3,4,5,2,2,3,3,3,4
3484,Moore MacDonald,1,Hong Kong,2,4,4,3,2,3,3,3,3
3485,Amy Patrick,2,hk,3,5,5,1,1,2,4,2,1
3486,Marina Joseph,2,Beijing,1,3,1,1,1,2,1,2,2
3487,Alfred Rebecca,1,Hong Kong,1,3,3,2,1,1,1,1,2
3488,Marian Masefield,2,hk,3,4,2,3,2,2,5,3,1
3489,Vera Lattimore,2,India,1,3,1,1,1,2,1,2,2
3490,Gong Huo,1,Hebei,3,4,2,3,2,2,5,3,1
3491,Charlotte Nichol(s),2,Hong Kong,3,4,3,3,3,3,5,3,3
3492,Gary Stilwell,1,Jiangsu,4,4,4,5,3,4,4,2,4
3493,Truda Nora,2,Macao,3,2,3,2,2,3,3,2,2
3494,Carol,2,Wulongmuqi,3,2,4,5,3,3,3,2,3
3495,George Tom,1,Hong Kong,3,5,2,2,3,3,3,3,3
3496,Paula Brook,2,Mongolia,3,2,3,2,2,3,3,2,2
3497,Katherine Masefield,2,Hong Kong,3,3,2,5,2,2,2,1,1
3498,Carr Connie,1,Hong Kong,3,5,2,2,2,4,2,4,4
3499,Amelia Holmes,2,Hong Kong,2,1,3,4,2,2,2,1,2
3500,Ken Felix,1,Beijing,3,4,5,5,4,4,5,4,2
3501,Wade Elizabeth,1,HK,2,3,2,2,2,2,4,2,2
3502,Ula Pope,2,HK,2,3,2,2,2,2,4,2,2
3503,Zhou Shun,1,Philippines,3,3,3,1,2,1,5,3,5
3504,King Meredith,1,HK,3,4,5,2,2,3,3,3,1
3505,David Beard,1,Hong Kong,4,2,4,5,2,2,2,2,2
3506,Athena Garden,2,Hong Kong,2,1,1,1,1,1,4,1,2
3507,Sophia Susanna,2,Chongqing,3,4,2,2,1,3,2,1,2
3508,Lei Zexi,2,hk,5,5,4,5,4,4,5,5,3
3509,Chloe Charley,2,Japan,3,3,3,5,4,4,2,5,3
3510,Melissa Bowen,2,Hong Kong,2,4,2,1,1,2,1,1,1
3511,Caroline Camilla,2,Hong Kong,5,5,5,5,5,5,5,5,5
3512,Qiao Xuefeng,1,Taiwan,3,4,3,3,3,3,5,3,3
3513,Valerie Bush,2,Hong Kong,3,3,3,1,2,1,5,3,5
3514,Valerie Zangwill,2,Fujian,3,4,4,5,3,3,3,2,2
3515,Werner Bauer,1,Hong Kong,4,2,4,4,3,2,2,3,3
3516,Avery Wheeler,1,Yunnan,4,4,4,4,4,4,4,4,4
3517,Jessie North,2,Hong Kong,1,2,1,5,4,5,2,5,4
3518,Burke Bellamy,1,Hong Kong,4,5,3,3,2,4,3,2,3
3519,Aygul Memet,2,Hong Kong,5,3,2,1,2,2,3,2,2
3520,Melissa Juliana,2,Hong Kong,2,4,3,3,2,3,3,3,2
3521,Judith Hosea,2,Hong Kong,4,3,3,5,4,4,2,4,4
3522,Harvey Lattimore,1,South Korea,5,5,5,5,5,5,5,5,5
3523,Aaron Horace,1,Hong Kong,2,3,3,4,2,2,2,1,1
3524,Huo Chin,1,Hong Kong,4,4,3,5,3,3,3,2,2
3525,Jenny Cissie,2,Canton,2,5,4,5,4,4,2,5,5
3526,Quan Guanyu,2,Shanghai,5,4,5,5,5,4,4,5,5
3527,Page Joshua,1,Hong Kong,2,2,1,2,2,2,3,2,2
3528,Marian Masefield,2,Hong Kong,3,4,3,3,3,3,5,3,3
3529,Zhong Shufen,2,Taiwan,2,1,2,1,1,2,2,1,1
3530,Kevin Dewey,1,Hong Kong,3,3,4,3,2,3,3,3,4
3531,Yao Yong,2,Indonesia,2,1,1,4,3,4,5,4,1
3532,Ren Xun,1,Hong Kong,4,3,5,5,4,4,4,3,4
3533,Sophia Bernard,2,Hong Kong,3,3,2,5,2,2,2,1,1
3534,Darren Whitehead,1,Hong Kong,3,4,5,1,1,2,2,2,4
3535,Zhan Zexi,1,Hong Kong,5,4,4,5,3,3,3,4,1
3536,Susan Pulitzer,2,Foshan,5,3,5,5,3,3,3,3,3
3537,Xia Jianhong,1,china,3,4,4,5,4,4,2,4,4
3538,Donald Pope,1,Hong Kong,3,4,2,3,2,2,5,3,1
3539,Wanda Babbitt,2,hk,4,2,4,5,2,2,2,2,2
3540,Paul Eveline,1,HK,3,4,4,5,3,3,3,2,2
3541,Sylvia Alick,2,Anhui,3,3,3,5,2,3,3,1,3
3542,Jonathan Charley,1,HK,4,2,4,5,2,2,2,2,2
3543,Elliot Whit,1,Hong Kong,5,5,5,5,5,5,5,5,5
3544,Sheila Galbraith,2,Hong Kong,4,4,3,5,3,3,3,2,2
3545,Joyce Van,1,Hong Kong,4,3,3,4,2,3,3,3,5
3546,Derrick Sandy,1,Heilongjiang,2,5,5,1,2,2,3,2,2
3547,Zhao Ya,2,Hong Kong,5,4,3,4,3,3,2,4,3
3548,Quan Bi,2,Hong Kong,5,4,3,1,1,2,3,2,4
3549,Grover Harriman,1,Chongqing,1,2,1,1,1,1,3,1,1
3550,Qiao Bi,2,Sichuan,1,1,1,2,2,3,3,3,1
3551,Sabina Kellogg,2,Hong Kong,2,4,1,1,1,3,1,3,3
3552,Kay Peter,2,Hong Kong,2,2,2,4,1,2,2,1,2
3553,Milo Stuart,1,Hebei,4,3,5,5,4,4,4,3,4
3554,Yvette Hughes,2,Henan,3,3,3,4,3,4,2,4,3
3555,Elliot Whit,1,Hong Kong,1,2,1,3,2,3,3,3,2
3556,Frederica Lamb,2,Hong Kong,1,3,1,1,1,2,1,2,2
3557,Blair Reed,1,hk,3,3,4,4,3,4,2,4,1
3558,Duan Zan,2,Hong Kong,5,3,5,5,4,3,3,4,4
3559,Julian Rosalind,1,hk,3,4,4,5,4,4,2,4,4
3560,Zebulon Maltz,1,Shenzhen,3,3,3,1,2,1,5,3,5
3561,Deirdre Lindberg(h),2,Hong Kong,3,4,5,4,3,3,3,4,2
3562,Mandel Marshall,1,Shandong,1,2,1,4,3,3,3,4,2
3563,Lennon Nell,1,Yunnan,1,1,1,5,3,3,5,4,2
3564,Chester Sassoon,1,Macao,2,1,3,4,2,2,2,1,2
3565,Sandra Gibson,2,Zhejiang,1,1,1,5,3,3,3,3,1
3566,Alma Jim,2,Macao,4,4,4,2,3,2,5,4,5
3567,Chad Meg,1,Hong Kong,2,3,3,4,3,3,1,3,3
3568,Tyler Barrett,1,HK,3,4,2,2,1,3,2,1,2
3569,Higashi Kosho,1,Hong Kong,3,4,4,5,3,3,3,2,2
3570,Adonis Palmer,1,Hong Kong,2,5,5,4,3,3,2,3,4
3571,Modesty Palmer,2,Hong Kong,2,4,1,1,2,2,2,2,2
3572,Parker Judd,1,Hong Kong,1,1,1,3,1,1,1,1,1
3573,Beacher Milton,1,Chongqing,3,2,4,5,3,3,3,2,3
3574,Mahmud Niyaz,1,hk,5,5,5,5,5,5,5,5,5
3575,Lou Adam,1,Hong Kong,2,5,5,4,3,3,2,3,4
3576,Geraldine Bacon,2,Hong Kong,4,2,4,5,2,2,2,2,2
3577,Zona Clarissa,2,India,4,4,4,2,3,2,5,4,5
3578,Megan Barrie,2,Hong Kong,4,5,5,5,4,4,4,3,3
3579,Rosalind Bloor,2,Jiangsu,3,5,2,2,2,4,2,4,4
3580,Hugo Wyat(t),1,Hong Kong,3,3,2,5,2,2,2,1,1
3581,Ophelia Lindsay,2,Hong Kong,5,5,5,3,4,3,5,5,5
3582,Colby Dupont,1,Guangdong,5,3,3,1,1,2,5,2,4
3583,Ryan Terry,1,HK,2,5,5,4,3,3,2,3,4
3584,Florence MacArthur,2,Hong Kong,2,3,1,2,2,3,3,3,3
3585,Vic Ezekiel,1,hk,4,4,5,3,2,3,5,3,2
3586,Olive Maugham,2,Malaysia,3,4,4,5,4,4,2,4,4
3587,Lesley Fanny,2,Hong Kong,3,3,2,5,2,2,2,1,1
3588,Caesar Spencer,1,Hong Kong,2,4,4,1,1,1,4,1,3
3589,Andrew Dick,1,Hong Kong,3,2,4,5,3,3,3,2,3
3590,Veromca Sailsbury,2,hk,2,4,3,4,3,4,5,4,2
3591,Gemma Wheatley,2,Hong Kong,3,4,2,2,1,3,2,1,2
3592,Prima Joel,2,Hong Kong,3,2,3,2,2,3,3,2,2
3593,Lucien James,1,Hong Kong,1,2,1,4,3,4,5,4,2
3594,Sam Stilwell,1,Beijing,3,4,4,5,4,4,2,4,4
3595,Bridget Jerry,2,Hubei,3,4,2,3,2,2,5,3,1
3596,Edwiin Flynn,1,Hong Kong,2,3,2,2,2,2,4,2,2
3597,Mo Hai,2,Shenzhen,2,3,3,4,3,3,1,3,3
3598,Verna Caroline,2,Hong Kong,2,3,3,4,3,3,1,3,3
3599,Marico Wallace,1,Hong Kong,1,2,1,4,4,3,5,3,2
3600,Pandora Parker,2,Shanxi,2,4,3,5,3,4,2,4,2
3601,Drew Moll,1,Hong Kong,3,4,2,2,1,3,2,1,2
3602,Joanne Jenkin(s),2,Tianjin,3,2,2,5,4,4,2,5,3
3603,Vanessa Betty,2,Shenzhen,4,4,3,5,3,3,3,2,2
